MeterNo.,IP,keys
CRYT3403407,2405:0203:c3e1:4024:0000:0000:0000:0010,123
CRYT3394095,2405:0203:c3e1:247B:0000:0000:0000:0010,123
CRYT3412296,2405:0203:c3e0:A65A:0000:0000:0000:0010,123
CRYT3190141,2405:0203:c3f4:D5AC:0000:0000:0000:0010,123
CRYT3289884,2405:0203:c3fa:D362:0000:0000:0000:0010,123
CRYT3402346,2405:0203:c3e0:6B85:0000:0000:0000:0010,123
CRYT3288400,2405:0203:c3e0:2F82:0000:0000:0000:0010,123
CRYT3408911,2405:0203:c3e1:6F23:0000:0000:0000:0010,123
CRYT3413154,2405:0203:c3e0:A1C5:0000:0000:0000:0010,123
CRYT3290300,2405:0203:c3f9:287F:0000:0000:0000:0010,123
CRYT3354225,2405:0203:c3fa:5261:0000:0000:0000:0010,123
CRYT3394393,2405:0203:c3e1:29DA:0000:0000:0000:0010,123
CRYT3399501,2405:0203:c3e1:2CA0:0000:0000:0000:0010,123
CRYT3404612,2405:0203:c3e1:A9D4:0000:0000:0000:0010,123
CRYT3407384,2405:0203:c3e0:81C0:0000:0000:0000:0010,123
CRYT3363917,2405:0203:c3e0:DCEB:0000:0000:0000:0010,123
CRYT3563726,2405:0203:c3e6:55EF:0000:0000:0000:0010,123
CRYT3317760,2405:0203:c3fa:F4AD:0000:0000:0000:0010,123
CRYT3412098,2405:0203:c3e0:E814:0000:0000:0000:0010,123
CRYT3277428,2405:0203:c3f9:2817:0000:0000:0000:0010,123
CRYT3412630,2405:0203:c3e0:843E:0000:0000:0000:0010,123
CRYT3406819,2405:0203:c3e1:0310:0000:0000:0000:0010,123
CRYT3406243,2405:0203:c3e0:C178:0000:0000:0000:0010,123
CRYT3294209,2405:0203:c3e0:183E:0000:0000:0000:0010,123
CRYT3422181,2405:0203:c3e1:54E8:0000:0000:0000:0010,123
CRYT3393954,2405:0203:c3e0:8BAD:0000:0000:0000:0010,123
CRYT3403977,2405:0203:c3e0:9DF1:0000:0000:0000:0010,123
CRYT3415503,2405:0203:c3e1:488C:0000:0000:0000:0010,123
CRYT3194875,2405:0203:c3f9:3829:0000:0000:0000:0010,123
CRYT3192025,2405:0203:c3f4:DEFA:0000:0000:0000:0010,123
CRYT3550573,2405:0203:c3e1:DF7F:0000:0000:0000:0010,123
CRYT3397698,2405:0203:c3e1:0AB2:0000:0000:0000:0010,123
CRYT3402727,2405:0203:c3e5:23B3:0000:0000:0000:0010,123
CRYT3346945,2405:0203:c3e0:6317:0000:0000:0000:0010,123
CRYT3399348,2405:0203:c3e1:290A:0000:0000:0000:0010,123
CRYT3277471,2405:0203:c3e5:2373:0000:0000:0000:0010,123
CRYT3400519,2405:0203:c3e1:0716:0000:0000:0000:0010,123
CRYT3392445,2405:0203:c3e1:0C23:0000:0000:0000:0010,123
CRYT3598890,2405:0203:c3e6:A87B:0000:0000:0000:0010,123
CRYT3188574,2405:0203:c3fa:57ED:0000:0000:0000:0010,123
CRYT3422296,2405:0203:c3e1:5418:0000:0000:0000:0010,123
CRYT3280263,2405:0203:c3fa:0976:0000:0000:0000:0010,123
CRYT3406815,2405:0203:c3e1:02FF:0000:0000:0000:0010,123
CRYT3382254,2405:0203:c3e0:641F:0000:0000:0000:0010,123
CRYT3287644,2405:0203:c3f9:3DEE:0000:0000:0000:0010,123
CRYT3579986,2405:0203:c3e6:2370:0000:0000:0000:0010,123
CRYT3527484,2405:0203:c3e1:1C63:0000:0000:0000:0010,123
CRYT3398810,2405:0203:c3e0:66CC:0000:0000:0000:0010,123
CRYT3421508,2405:0203:c3e5:713A:0000:0000:0000:0010,123
CRYT3585012,2405:0203:c3e6:5E2F:0000:0000:0000:0010,123
CRYT3315767,2405:0203:c3fa:BDA2:0000:0000:0000:0010,123
CRYT3556187,2405:0203:c3e6:0455:0000:0000:0000:0010,123
CRYT3399422,2405:0203:c3e1:2476:0000:0000:0000:0010,123
CRYT3399655,2405:0203:c3e1:30B5:0000:0000:0000:0010,123
CRYT3412023,2405:0203:c3e0:A3BC:0000:0000:0000:0010,123
CRYT3411780,2405:0203:c3e0:DF4F:0000:0000:0000:0010,123
CRYT3399529,2405:0203:c3e1:3238:0000:0000:0000:0010,123
CRYT3540552,2405:0203:c3e1:95A6:0000:0000:0000:0010,123
CRYT3371991,2405:0203:c3e0:D047:0000:0000:0000:0010,123
CRYT3402289,2405:0203:c3e0:6D04:0000:0000:0000:0010,123
CRYT3398802,2405:0203:c3e0:66E9:0000:0000:0000:0010,123
CRYT3532270,2405:0203:c3e1:C245:0000:0000:0000:0010,123
CRYT3415880,2405:0203:c3e1:AF74:0000:0000:0000:0010,123
CRYT3395915,2405:0203:c3fa:88FD:0000:0000:0000:0010,123
CRYT3292967,2405:0203:c3f9:3926:0000:0000:0000:0010,123
CRYT3532269,2405:0203:c3e1:C1F1:0000:0000:0000:0010,123
CRYT3321380,2405:0203:c3f9:48A1:0000:0000:0000:0010,123
CRYT3341489,2405:0203:c3f9:58F1:0000:0000:0000:0010,123
CRYT3599401,2405:0203:c3e1:CD8C:0000:0000:0000:0010,123
CRYT3532712,2405:0203:c3e1:9F5A:0000:0000:0000:0010,123
CRYT3363688,2405:0203:c3fa:CAB4:0000:0000:0000:0010,123
CRYT3407383,2405:0203:c3e0:82F4:0000:0000:0000:0010,123
